Year	Team	HomePoints	AwayPoints	Big6HomePoints	Big6AwayPoints	Middle7HomePoints	Middle7AwayPoints	EventualPosition	TotalPoints	TotalPrcnt	Big6Points	Big6Prcnt	Middle7Points	Middle7Prcnt
13-14	Man Utd	30	34	4	2	13	13	7	64	56.14	6	20	26	61.9
13-14	Man City	52	34	12	7	21	17	1	86	75.44	19	63.33	38	90.48
13-14	Liverpool	49	35	12	6	18	13	2	84	73.68	18	60	31	73.81
13-14	Chelsea	48	34	15	9	16	9	3	82	71.93	24	80	25	59.52
13-14	Arsenal	44	35	9	3	17	13	4	79	69.3	12	40	30	71.43
13-14	Spurs	36	33	2	3	15	16	6	69	60.53	5	16.67	31	73.81
14-15	Man Utd	44	27	11	7	12	9	4	71	62.28	18	60	21	50
14-15	Man City	45	34	10	5	18	13	2	79	69.3	15	50	31	73.81
14-15	Liverpool	35	26	7	4	16	7	6	61	53.51	11	36.67	23	54.76
14-15	Chelsea	49	38	11	6	19	16	1	87	76.32	17	56.67	35	83.33
14-15	Arsenal	41	34	6	5	18	10	3	75	65.79	11	36.67	28	66.67
14-15	Spurs	33	31	7	1	11	13	5	64	56.14	8	26.67	24	57.14
15-16	Man Utd	41	25	11	7	14	10	5	66	57.89	18	60	24	57.14
15-16	Man City	38	28	4	4	13	9	4	66	57.89	8	26.67	22	52.38
15-16	Liverpool	32	28	6	8	16	4	8	60	52.63	14	46.67	20	47.62
15-16	Chelsea	24	26	5	6	6	4	10	50	43.86	11	36.67	10	23.81
15-16	Arsenal	40	31	8	3	13	14	2	71	62.28	11	36.67	27	64.29
15-16	Spurs	36	34	9	6	11	12	3	70	61.4	15	50	23	54.76
16-17	Man Utd	34	35	8	2	11	15	6	69	60.53	10	33.33	26	61.9
16-17	Man City	40	38	6	4	15	15	3	78	68.42	10	33.33	30	71.43
16-17	Liverpool	41	35	11	9	15	13	4	76	66.67	20	66.67	28	66.67
16-17	Chelsea	51	42	12	4	21	21	1	93	81.58	16	53.33	42	100
16-17	Arsenal	45	30	8	1	21	11	5	75	65.79	9	30	32	76.19
16-17	Spurs	53	33	13	2	19	12	2	86	75.44	15	50	31	73.81
